CUI,Description,Source,Description-GPT
C0695347,"A specific manner, characteristic, pattern of application or the employment of, any therapeutic agent or method of treatment, especially involving the physical treatment of a condition.",NCI,Modality image characteristics involve the specific manner and pattern of applying therapeutic agents for physical treatment.
C1696103,None,None,None
C0227230,The main section of the digestive tube that connects the esophagus to the small intestine. The body proper excludes the upper and lower sections of the fundus and pyloric portion respectively.,NCI,None
C0441468,None,None,None
C0023884,"A large lobed glandular organ in the abdomen of vertebrates that is responsible for detoxification, metabolism, synthesis and storage of various substances.",MSH,The liver is reddish-brown in color and has a smooth texture with a lumpy appearance due to its lobes.
C0022646,Body organ that filters blood for the secretion of URINE and that regulates ion concentrations.,MSH,The kidney image did not display any obvious distinguishing characteristics.
C0037993,An encapsulated lymphatic organ through which venous blood filters.,MSH,An encapsulated lymphatic organ through which venous blood filters.
C0178784,"A unique macroscopic (gross) anatomic structure that performs specific functions. It is composed of various tissues. An organ is part of an anatomic system or a body region. Representative examples include the heart, lung, liver, spleen, and uterus.",NCI,"The organ image shows a distinct structure performing specific functions, composed of various tissues within the body."
C0024109,Either of the pair of organs occupying the cavity of the thorax that effect the aeration of the blood.,MSH,"The lung image characteristics include a spongy texture, pink color, delicate blood vessels, and intricate bronchial network."
C0018787,"The hollow, muscular organ that maintains the circulation of the blood.",MSH,None
C0012634,"A definite pathologic process with a characteristic set of signs and symptoms. It may affect the whole body or any of its parts, and its etiology, pathology, and prognosis may be known or unknown.",MSH,"Diseases are identifiable by specific signs and symptoms, affecting the body with known or unknown causes and outcomes."
C0205161,"Deviating in any way from the state, position, structure, condition, behavior, or rule which is considered a norm.",NCI,"The abnormal image displayed strange colors and distorted shapes, indicating a potential issue with the camera's settings."
C1704258,A condition that differs from the usual physical or mental state.,NCI,"Abnormality may include atypical behaviors, unusual appearance, or mental health symptoms that deviate from typical norms."
C0000768,Malformations of organs or body parts during development in utero.,MSH,"Abnormalities image characteristics include defects in structure or function, visible in medical imaging such as ultrasounds or X-rays."
C3898900,Having no significant health-related issues.,NCI,None.
C0227613,A bean-shaped retroperitoneal organ situated below the diaphragm and posterior to the liver.,NCI,"Image characteristics: smooth surface, distinct bean shape, located inferior to diaphragm and posterior to liver."
C0205091,Being or located on or directed toward the side of the body to the west when facing north.,NCI,Being or located on or directed toward the side of the body to the west when facing north.
C0332479,None,None,None
C0227614,A bean-shaped retroperitoneal organ situated below the diaphragm and posterior to the spleen.,NCI,"Smooth, curved shape with distinct renal pelvis, collecting ducts, renal arteries and veins. Image also shows surrounding tissues."
C1269776,An achromatic color of any lightness between the extremes of black and white.,NCI,"Gray color image characteristics include a neutral tone between black and white, often used for a subtle and sophisticated look."
C0014876,The muscular membranous segment between the PHARYNX and the STOMACH in the UPPER GASTROINTESTINAL TRACT.,MSH,"Tube connecting pharynx and stomach, lined with muscles to help move food from mouth to stomach."
C0038351,An organ of digestion situated in the left upper quadrant of the abdomen between the termination of the ESOPHAGUS and the beginning of the DUODENUM.,MSH,"Anatomical features include mucosa, submucosa, muscular layer, and serosa. None."
C0030705,"Individuals participating in the health care system for the purpose of receiving therapeutic, diagnostic, or preventive procedures.",MSH,None.
C0220630,A hepatocellular carcinoma or intrahepatic cholangiocarcinoma that occurs during adulthood.,NCI,"Liver cancer image characteristics include enlargement, abnormal shape, and potential presence of tumors."
C0205090,Being or located on or directed toward the side of the body to the east when facing north.,NCI,The right side of the image shows a group of people walking towards the east in a park.
C0024485,Non-invasive method of demonstrating internal anatomy based on the principle that atomic nuclei in a strong magnetic field absorb pulses of radiofrequency energy and emit them as radiowaves which can be reconstructed into computerized images. The concept includes proton spin tomographic techniques.,MSH,MRI scan images show detailed views of internal anatomy through the use of strong magnetic fields and radiofrequency energy.
C0935598,"Pertaining to a plane containing a line parallel to the long axis of the subject's body, and additionally giving a left or right view. This plane is perpendicular to both the transaxial and coronal planes.",NCI,The sagittal plane image shows a left or right view perpendicular to transaxial and coronal planes.
C0796494,"A portion of an organ, such as the liver, lung, breast, or brain.",NCI,"The lobe appears as a distinct, rounded section of an organ, clearly separating it from other parts."
C0028259,"A small lump, swelling or collection of tissue.",NCI,The image does not show any visible characteristics of the nodule.
C0460002,"An anatomical structure that consists of organs and organ subclasses responsible for certain body functions. Representative examples are the gastrointestinal system, urinary system, and hematopoietic system.",NCI,The organ system image displays interconnected organs working together to perform specific bodily functions.
C0225730,The 2-lobed lung located on the left side of the body.,NCI,None
C0009393,None,None,None
C1280500,A phenomenon that follows and is caused by some previous phenomenon.,NCI,The effect of the medication resulted in a decrease in the patient's blood pressure within minutes.
C0309872,brand of veterinary medicine,CHV,None
C0243132,None,None,None
C1261074,"The lobe of the right lung, situated above the horizontal fissure, which includes the apex.",NCI,The upper right lobe of the lung contains the apex and is located above the horizontal fissure. None.
C0007226,The HEART and the BLOOD VESSELS by which BLOOD is pumped and circulated through the body.,MSH,None.
C0009244,"A directive form of psychotherapy based on the interpretation of situations (cognitive structure of experiences) that determine how an individual feels and behaves. It is based on the premise that cognition, the process of acquiring knowledge and forming beliefs, is a primary determinant of mood and behavior. The therapy uses behavioral and verbal techniques to identify and correct negative thinking that is at the root of the aberrant behavior.",MSH,"CT images provide detailed cross-sectional views of the body, allowing for precise diagnosis and treatment planning."
C0229960,None,None,None
C0577559,"A benign or malignant pathologic structure in any part of the body, resulting from a neoplastic accumulation of cells, inflammatory cells, or cystic changes.",NCI,The mass appears as a distinct abnormal growth that can be either benign or malignant.
C0008972,"A work that reports on the results of a research study to evaluate interventions or exposures on biomedical or health-related outcomes. The two main types of clinical studies are interventional studies (clinical trials) and observational studies. While most clinical studies concern humans, this publication type may be used for clinical veterinary articles meeting the requisites for humans.",MSH,None
C0030797,The space or compartment surrounded by the pelvic girdle (bony pelvis). It is subdivided into the greater pelvis and LESSER PELVIS. The pelvic girdle is formed by the PELVIC BONES and SACRUM.,MSH,The image shows the pelvic cavity surrounded by the pelvic girdle and formed by the pelvic bones and sacrum.
C0439541,"This answer string has been used in various answer lists in both color context (of specimen, for example) and racial context.",LNC,"The black color is associated with darkness, elegance, power, and mystery, often symbolizing sophistication and formality."
C0087111,Procedures concerned with the remedial treatment or prevention of diseases.,MSH,None
C0035237,"The tubular and cavernous organs and structures, by means of which pulmonary ventilation and gas exchange between ambient air and the blood are brought about.",MSH,None
C0817096,"The upper part of the trunk between the NECK and the ABDOMEN. It contains the chief organs of the circulatory and respiratory systems. (From Stedman, 25th ed)",MSH,"The chest is wide and flat, housing vital organs like the heart and lungs. It's located between the neck and abdomen."
C0018800,"Enlargement of the HEART, usually indicated by a cardiothoracic ratio above 0.50. Heart enlargement may involve the right, the left, or both HEART VENTRICLES or HEART ATRIA. Cardiomegaly is a nonspecific symptom seen in patients with chronic systolic heart failure (HEART FAILURE) or several forms of CARDIOMYOPATHIES.",MSH,"Enlargement of the heart, indicated by a cardiothoracic ratio above 0.50. May involve right, left, or both ventricles/atria."
C0225706,The 3-lobed lung located on the right side of the body.,NCI,The right lung has a larger volume than the left lung.
C0031843,"Used with organs, tissues, and cells of unicellular and multicellular organisms for normal function. It is used also with biochemical substances, endogenously produced, for their physiologic role.",MSH,The function can vary greatly in unicellular and multicellular organisms and play a vital role in physiological processes.
C0086418,None,None,None
C0032326,"An accumulation of air or gas in the PLEURAL CAVITY, which may occur spontaneously or as a result of trauma or a pathological process. The gas may also be introduced deliberately during PNEUMOTHORAX, ARTIFICIAL.",MSH,"Collapsed lung, visible on X-ray or CT scan, causing chest pain, shortness of breath, and decreased oxygen levels."
C0444660,An imaginary surface formed by extension of a point through any axis or two definite points; any flat two-dimensional surface.,NCI,"The image is a flat, two-dimensional surface extending infinitely in all directions."
C0205106,"refers to a cross-sectional view of the brain commonly presented in illustrations of its internal structure. Roughly speaking, the term refers to a horizontal plane that extends from the front to the back of the brain. For a more precise definition of its use in BrainInfo see \"" plane of section \"". For a comprehensive review and discussion of uses of this and related terms by different authors, see ( Anthoney-1994 ).",NEU,"Image shows a horizontal view of the brain, presenting internal structures from front to back."
C4551585,Pertaining to a plane containing a line parallel to the long axis of the subject's body and in addition presenting anterior and posterior views on each side of it. This plane is perpendicular to both the transaxial and sagittal.,NCI,The coronal plane displays anterior and posterior views on each side of the body's long axis.
C0010957,None,None,None
C0683368,None,None,None
C0004144,"Absence of air in the entire or part of a lung, such as an incompletely inflated neonate lung or a collapsed adult lung. Pulmonary atelectasis can be caused by airway obstruction, lung compression, fibrotic contraction, or other factors.",MSH,"Collapsed lung with absence of air, potentially due to airway obstruction, lung compression, or other factors causing atelectasis."
C0011923,"Any visual display of structural or functional patterns of organs or tissues for diagnostic evaluation. It includes measuring physiologic and metabolic responses to physical and chemical stimuli, as well as ultramicroscopy.",MSH,Imaging provides visual data for diagnosing conditions within the body using various techniques such as MRI or X-rays.
C0332448,The process of the diffusion or accumulation in a tissue or cells of a substance not normal to it or in amounts above normal. (NCI),NCI,None.
C0032285,Infection of the lung often accompanied by inflammation.,MSH,"Symptoms of pneumonia may include cough, fever, difficulty breathing, chest pain, and fatigue."
C5231182,None,None,None
C0034079,"A benign or malignant small, oval or round growth in the lung. It can be due to infectious, inflammatory or neoplastic processes.",NCI,None
C0000726,That portion of the body that lies between the THORAX and the PELVIS.,MSH,"The abdomen is the area between the chest and the hips, containing organs such as the stomach and intestines."
C0034571,"Used with organs, regions, and diseases for x-ray examinations.",MSH,"X-Ray images typically show bones and tissue density, highlighting fractures, infections, or abnormalities within the body."
C0040405,Tomography using x-ray transmission and a computer algorithm to reconstruct the image.,MSH,CT scan images show detailed cross-sectional views of the body for diagnostic purposes.
C0013687,"A collection of fluid in a body cavity, which may be the result of a non-neoplastic disorder (e.g. heart failure) or a tumor (e.g. carcinoma of the lung).",NCI,"Effusion image characteristics include the presence of fluid in a body cavity, potentially caused by non-neoplastic or neoplastic disorders."
C0018670,"The upper part of the human body, or the front or upper part of the body of an animal, typically separated from the rest of the body by a neck, and containing the brain, mouth, and sense organs.",MSH,"The head is the top part of the body containing the brain, mouth, and sense organs."
C0032227,Presence of fluid in the pleural cavity resulting from excessive transudation or exudation from the pleural surfaces. It is a sign of disease and not a diagnosis in itself.,MSH,None
C0227481,The larger lobe of the liver extending into the right side of the body.,NCI,None.
C1704254,Any record of a medical imaging event whether physical or electronic.,NCI,None
C0027530,The part of a human or animal body connecting the HEAD to the rest of the body.,MSH,"Smooth skin, flexible movements, sensitive to touch."
C1261077,"The larger lobe of the left lung, situated below and behind the oblique fissure.",NCI,"The lower left lobe of the left lung can be seen on the image, showing its position and size."
C1261076,"The smaller lobe of the left lung, situated above and in front the oblique fissure, which includes the apex.",NCI,The upper left lobe of the lung is smaller and includes the apex above and in front the oblique fissure.
C0227486,The smaller lobe of the liver extending into the left side of the body.,NCI,The left lobe image is difficult to distinguish without specific characteristics to identify its distinct features.
C0015392,The organ of sight constituting a pair of globular organs made up of a three-layered roughly spherical structure specialized for receiving and responding to light.,MSH,"Eyes are complex, delicate orbs that detect light, colors, shapes, and movement, allowing for visual perception and communication."
C0037925,A cylindrical column of tissue that lies within the vertebral canal. It is composed of WHITE MATTER and GRAY MATTER.,MSH,The spinal cord is a complex structure with both white and gray matter enclosed in the vertebral canal.
C0013303,The shortest and widest portion of the SMALL INTESTINE adjacent to the PYLORUS of the STOMACH. It is named for having the length equal to about the width of 12 fingers.,MSH,The duodenum appears as a short and wide segment of the small intestine located near the stomach's pylorus.
C0040300,"Collections of differentiated CELLS, such as EPITHELIUM; CONNECTIVE TISSUE; MUSCLES; and NERVE TISSUE. Tissues are cooperatively arranged to form organs with specialized functions such as RESPIRATION; DIGESTION; REPRODUCTION; MOVEMENT; and others.",MSH,Tissues are composed of specialized cells working together to form organs with specific functions in the body.
C3654000,None,None,None
C0004048,The act of BREATHING in.,MSH,Inhaling air through the nose or mouth to take in oxygen and release carbon dioxide from the lungs.
C0006121,The part of the brain that connects the CEREBRAL HEMISPHERES with the SPINAL CORD. It consists of the MESENCEPHALON; PONS; and MEDULLA OBLONGATA.,MSH,None
C0020164,Bone in humans and primates extending from the SHOULDER JOINT to the ELBOW JOINT.,MSH,Bone in humans and primates extending from the SHOULDER JOINT to the ELBOW JOINT.
C0030580,The largest of the three pairs of SALIVARY GLANDS. They lie on the sides of the FACE immediately below and in front of the EAR.,MSH,None.
C0043047,"A clear, odorless, tasteless liquid that is essential for most animal and plant life and is an excellent solvent for many substances. The chemical formula is hydrogen oxide (H2O). (McGraw-Hill Dictionary of Scientific and Technical Terms, 4th ed)",MSH,"Water is a clear, odorless liquid that is essential for life, with the chemical formula H2O."
C0016452,Substances taken in by the body to provide nourishment.,MSH,"Food is color, texture, taste, and aroma that vary depending on ingredients and preparation methods used."
C0024687,The largest and strongest bone of the FACE constituting the lower jaw. It supports the lower teeth.,MSH,"The mandible is a curved, horseshoe-shaped bone that houses the lower teeth and provides support for the face."
C0039485,"Lower lateral part of the cerebral hemisphere responsible for auditory, olfactory, and semantic processing. It is located inferior to the lateral fissure and anterior to the OCCIPITAL LOBE.",MSH,"Temporal lobes have a folded appearance with gyri and sulci, and are located on each side of the brain."
C0034770,The process whereby a representation of past experience is elicited.,MSH,"Certain qualities or features may stand out in a remembered image, influencing the accuracy of recall."
C0027763,"The entire nerve apparatus, composed of a central part, the brain and spinal cord, and a peripheral part, the cranial and spinal nerves, autonomic ganglia, and plexuses. (Stedman, 26th ed)",MSH,None.
C0023078,"A tubular organ of VOICE production. It is located in the anterior neck, superior to the TRACHEA and inferior to the tongue and HYOID BONE.",MSH,"The larynx image characteristics include a tubular shape located in the anterior neck, between the trachea, tongue, and hyoid bone."
C0228233,None,None,None
C0042036,"Liquid by-product of excretion produced in the kidneys, temporarily stored in the bladder until discharge through the URETHRA.",MSH,"Yellow liquid waste with distinct odor, varying in color depending on hydration levels and health status of individual."
C0013443,"The hearing and equilibrium system of the body. It consists of three parts: the EXTERNAL EAR, the MIDDLE EAR, and the INNER EAR. Sound waves are transmitted through this organ where vibration is transduced to nerve signals that pass through the ACOUSTIC NERVE to the CENTRAL NERVOUS SYSTEM. The inner ear also contains the vestibular organ that maintains equilibrium by transducing signals to the VESTIBULAR NERVE.",MSH,"Shape varies but generally symmetrical, with the outer ear visible. The middle and inner ear are hidden inside."
C0228232,None,None,None
C0040578,The cartilaginous and membranous tube descending from the larynx and branching into the right and left main bronchi.,MSH,The trachea is a tubular structure with c-shaped cartilage rings and lined with ciliated mucous membrane cells.
C0040426,One of a set of bone-like structures in the mouth used for biting and chewing.,MSH,"The tooth is a small, hard, white structure with a pointed shape and is used for biting and chewing."
C0021852,"The portion of the GASTROINTESTINAL TRACT between the PYLORUS of the STOMACH and the ILEOCECAL VALVE of the LARGE INTESTINE. It is divisible into three portions: the DUODENUM, the JEJUNUM, and the ILEUM.",MSH,"The small bowel in the gastrointestinal tract consists of the duodenum, jejunum, and ileum, connecting the stomach and large intestine."
C0012240,"A group of organs stretching from the MOUTH to the ANUS, serving to breakdown foods, assimilate nutrients, and eliminate waste. In humans, the digestive system includes the GASTROINTESTINAL TRACT and the accessory glands (LIVER; BILIARY TRACT; PANCREAS).",MSH,Digestive system image characteristics: Visual representation of the organs involved in breaking down food and absorbing nutrients.
C0678695,Various components of food that are required for nourishment.,MSH,"The image shows a variety of nutrients including vitamins, minerals, protein, carbohydrates, and fats needed for nourishment."
C0034896,"The distal segment of the LARGE INTESTINE, between the SIGMOID COLON and the ANAL CANAL.",MSH,"A fleshy, tubular organ located at the end of the large intestine, responsible for storing and eliminating feces."
C2239193,None,None,None
C0425583,None,None,None
C0005680,None,None,None
C0242821,None,None,None
C0033414,Encouragement of the progress or growth or acceptance of something.,NCI,"Promote image characteristics include quality, creativity, and relevance to effectively encourage progress and acceptance."
C0232338,"The movement of blood to and from the heart and to the rest of the body's organs, tissues, and cells through the network of arteries, veins, and capillaries. (NCI)",NCI,The image displays the intricate system of blood vessels that transport blood throughout the body.
C0085104,"Systems for the delivery of drugs to target sites of pharmacological actions. Technologies employed include those concerning drug preparation, route of administration, site targeting, metabolism, and toxicity.",MSH,This system image involves drug delivery technology for targeted pharmacological actions in the body.
C0024235,None,None,None
C1291658,None,None,None
C0015813,"The hemispheric articular surface at the upper extremity of the thigh bone. (Stedman, 26th ed)",MSH,"The femoral head image showcases a smooth, rounded projection at the top of the femur bone."
C0475372,A clinical and/or pathologic primary tumor TNM finding indicating that the cancer is limited to the site of growth.,NCI,T1 image typically shows a localized tumor within the organ or tissue of interest.
C0006114,Swelling due to an excessive accumulation of fluid in the brain.,NCI,"Brain edema image characteristics include enlarged ventricles, compressed sulci, and midline shift on computed tomography or magnetic resonance imaging."
C0006118,"Neoplasms of the intracranial components of the central nervous system, including the cerebral hemispheres, basal ganglia, hypothalamus, thalamus, brain stem, and cerebellum. Brain neoplasms are subdivided into primary (originating from brain tissue) and secondary (i.e., metastatic) forms. Primary neoplasms are subdivided into benign and malignant forms. In general, brain tumors may also be classified by age of onset, histologic type, or presenting location in the brain.",MSH,"Brain tumor image characteristics vary based on location, size, shape, and presence of surrounding edema or enhancement."
C0556636,"A SI derived unit of absorbed radiation dose. One gray is equal to an absorbed dose of one joule per kilogram of matter, or to 100 rads.",NCI,"Gray image characteristics: a quantitative measurement of absorbed radiation dose, equivalent to one joule per kilogram of matter."
C0006104,"The part of CENTRAL NERVOUS SYSTEM that is contained within the skull (CRANIUM). Arising from the NEURAL TUBE, the embryonic brain is comprised of three major parts including PROSENCEPHALON (the forebrain); MESENCEPHALON (the midbrain); and RHOMBENCEPHALON (the hindbrain). The developed brain consists of CEREBRUM; CEREBELLUM; and other structures in the BRAIN STEM.",MSH,"The brain is a complex organ within the skull made up of the cerebrum, cerebellum, and brain stem."
C0178587,The amount of something per unit size.,NCI,"The density of the object is high due to its compact size and weight, making it heavier than expected."
C0475373,"A general term that refers to a TNM finding of primary tumor growth beyond the level of in situ cancer, minimal subepithelial invasion, or minimal greatest diameter. The definition of T2 TNM finding depends on the specific type of cancer that it refers to; for example, for breast cancer it refers to primary tumor that is more than 2.0 cm, but not more than 5.0 cm in greatest dimension; for cutaneous melanoma it refers to primary tumor that is 1.01 to 2 mm in thickness, with or without ulceration; for colorectal cancer it refers to primary tumor with invasion into the muscularis propria; and for bladder cancer it refers to primary tumor with invasion into the muscle layer.",NCI,"T2 image characteristics vary depending on the type of cancer, including size, thickness, and depth of invasion."
C0005910,The mass or quantity of heaviness of an individual. It is expressed by units of pounds or kilograms.,MSH,Weighted images in imaging studies provide enhanced contrast and highlight specific tissues or abnormalities under examination.
C0027651,"New abnormal growth of tissue. Malignant neoplasms show a greater degree of anaplasia and have the properties of invasion and metastasis, compared to benign neoplasms.",MSH,Abnormal tissue growth with potential for invasion and metastasis.
C0815006,Used only when the left hemisphere of the brain is the focus of the document.,PSY,The image showcases the intricate details and functions of the left hemisphere of the brain.
C0205082,Used to describe tumor samples that exhibit poorly differentiated or undifferentiated cells. They are generally expected to be fast growing and aggressive.,NCI,Tumor samples with severe image characteristics usually show poorly differentiated or undifferentiated cells and are aggressive in nature.
C0815007,Used only when the right hemisphere of the brain is the focus of the document.,PSY,None.
C1261075,The lobe of the right lung situated below the oblique fissure.,NCI,The lower right lobe of the lung appears as a prominent structure on the bottom right side.
C3887511,Knowledge on which to base belief.,NCI,"The evidence image characteristics are clear, detailed, and relevant to support the belief being formed."
C0009368,The segment of LARGE INTESTINE between the CECUM and the RECTUM. It includes the ASCENDING COLON; the TRANSVERSE COLON; the DESCENDING COLON; and the SIGMOID COLON.,MSH,"Characteristic of colon image is the segmented large intestine between the cecum and rectum, including ascending, transverse, descending, sigmoid."
C0012621,The pouring forth of a fluid.,NCI,"The discharge was a swift and continuous flow of water, cascading down the rocks into the river below."
C0441994,The bottom one of two.,NCI,The lower image showcases a close-up shot of a vibrant pink flower blooming in a lush green garden.
C1272745,None,None,None
C0020964,Nonsusceptibility to the invasive or pathogenic effects of foreign microorganisms or to the toxic effect of antigenic substances.,MSH,"Immunity image characteristics: Protective shield against harmful microorganisms or antigenic substances, providing defense against infection and disease."
C0015733,"Excrement from the INTESTINES, containing unabsorbed solids, waste products, secretions, and BACTERIA of the DIGESTIVE SYSTEM.",MSH,"Brown, solid, smelly waste expelled from the body, containing bacteria and undigested food particles."
C1420726,None,None,None
C0005682,"A musculomembranous sac along the URINARY TRACT. URINE flows from the KIDNEYS into the bladder via the ureters (URETER), and is held there until URINATION.",MSH,The bladder appears as a sac-like structure with a muscular and membranous lining. None
C1327616,"Production by a cell or aggregation of cells (a gland) of a physiologically active substance and its movement out of the cell or organ in which it is formed. Discharge across the cell membrane, into the intracellular space or ducts, of endogenous substances resulting from the activity of intact cells of glands, tissues, or organs.",NCI,"Secretions are produced by cells and released from glands. If no characteristics, output: none."
C0014442,"Biological molecules that possess catalytic activity. They may occur naturally or be synthetically created. Enzymes are usually proteins, however CATALYTIC RNA and CATALYTIC DNA molecules have also been identified.",MSH,"Enzymes are biological molecules that catalyze reactions, often protein-based with some exceptions like catalytic RNA or DNA molecules."
C0332582,None,None,None
C1698986,The act of safekeeping goods in a depository.,NCI,"The image depicts rows of shelves filled with assorted items, symbolizing organization and efficiency in storage management."
C0926821,None,None,None
C0926822,None,None,None
C0577059,None,None,None
